sample_id,dataset,task,question,answer,answers,metadata,has_image
textvqa_604,textvqa,textvqa,what does it say on the bottom row of text?,et a classe unique,"[""et a classe unique"", ""et a classe unique"", ""et a classe unique"", ""et a classe unique"", ""et a classe unique"", ""et a classe unique"", ""et a classe unique"", ""et a classe unique"", ""et a class unique"", ""et a classe unique""]","{""raw_index"": 604, ""image_id"": ""9dbe09f8ab283177""}",True
textvqa_432,textvqa,textvqa,what road is up ahead on the right?,carrera 76,"[""camarro 76"", ""carrera"", ""carrera"", ""carrera 76"", ""carrera"", ""carrera 76"", ""carrera 76"", ""carrera 76"", ""carrera 76"", ""carrera""]","{""raw_index"": 432, ""image_id"": ""41fbd5a49d27c7b0""}",True
textvqa_32,textvqa,textvqa,what year was the nectar made in ?,2012,"[""heavy"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012""]","{""raw_index"": 32, ""image_id"": ""76ef8b0dc965fb5a""}",True
textvqa_30,textvqa,textvqa,what is the brand of this beer?,tsingtao,"[""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsing tao"", ""tsingtao"", ""tsingtao""]","{""raw_index"": 30, ""image_id"": ""583bc452eb73e040""}",True
textvqa_95,textvqa,textvqa,what is the bottom right word on the sign in the back?,pacific,"[""navfac"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific""]","{""raw_index"": 95, ""image_id"": ""529658176281eec3""}",True
textvqa_223,textvqa,textvqa,which company logo is at the top right?,unicel,"[""unicel"", ""roo"", ""unicel"", ""quintana roo"", ""unicef"", ""unanswerable"", ""unanswerable"", ""secretaria de educacio del estado de quintana roo"", ""unicef"", ""yes""]","{""raw_index"": 223, ""image_id"": ""c161e6fd35f8e369""}",True
textvqa_238,textvqa,textvqa,what brand of computer?,macintosh,"[""macintosh"", ""windows"", ""macintosh"", ""macintosh"", ""macintosh"", ""smoking"", ""macintosh"", ""macintosh"", ""macintosh"", ""macbook""]","{""raw_index"": 238, ""image_id"": ""f693dcb2dfde424e""}",True
textvqa_517,textvqa,textvqa,what brand of machine in the back right?,breville,"[""beserville"", ""breville"", ""breville"", ""breville"", ""breville"", ""breville"", ""breville"", ""breville"", ""breville"", ""breville""]","{""raw_index"": 517, ""image_id"": ""246e4978074f8489""}",True
textvqa_616,textvqa,textvqa,which numbers are on the bottom row?,17,"[""1 7"", ""1 7"", ""1 7"", ""5"", ""17"", ""17"", ""17"", ""17"", ""1,7"", ""17""]","{""raw_index"": 616, ""image_id"": ""1424e6004b9ea174""}",True
textvqa_27,textvqa,textvqa,what brand are the monitors at this workspace?,dell,"[""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell""]","{""raw_index"": 27, ""image_id"": ""0046c69cb87e655c""}",True
textvqa_574,textvqa,textvqa,what brand are these drinks made by?,two hands,"[""two hans"", ""two hands"", ""two hands"", ""two hands"", ""two hands"", ""two hands"", ""two hands"", ""two hands"", ""two hands"", ""two hands""]","{""raw_index"": 574, ""image_id"": ""7546df098321046e""}",True
textvqa_203,textvqa,textvqa,what is the date of the performance?,july 29,"[""july 29th"", ""july 29"", ""july 29th"", ""july  29"", ""july 29"", ""friday july 29th"", ""july 29"", ""july 29th"", ""july 29"", ""julty 29""]","{""raw_index"": 203, ""image_id"": ""60b3efbe93d99dd5""}",True
textvqa_733,textvqa,textvqa,what is the name of this construction vehicle?,cat,"[""cat"", ""cat"", ""cat"", ""big builder"", ""rumbling big builder"", ""cat"", ""cat"", ""cat"", ""big builder"", ""big builder""]","{""raw_index"": 733, ""image_id"": ""0021364dbb9756ff""}",True
textvqa_665,textvqa,textvqa,who didn't do it?,i,"[""i"", ""i"", ""i"", ""i"", ""i"", ""absinth"", ""i"", ""i"", ""orange shirt"", ""the small boy""]","{""raw_index"": 665, ""image_id"": ""040639f9fd39bd13""}",True
textvqa_718,textvqa,textvqa,what is the smaller word on the trailer?,service,"[""service"", ""service"", ""service"", ""service"", ""service"", ""service"", ""service"", ""service"", ""service"", ""service""]","{""raw_index"": 718, ""image_id"": ""016811c061894f68""}",True
textvqa_986,textvqa,textvqa,what is the brand of watch?,tudor,"[""tudor"", ""tudor"", ""tudor"", ""tudor"", ""tudor"", ""tudor"", ""tudor"", ""tudor"", ""tudor"", ""tudor""]","{""raw_index"": 986, ""image_id"": ""3d9fd0a1d72c2c79""}",True
textvqa_429,textvqa,textvqa,what symbol is used to show danger in the water?,!,"[""answering does not require reading text in the image"", ""!"", ""danger"", ""! inside triangle"", ""!"", ""answering does not require reading text in the image"", ""triangle"", ""exclamation point"", ""!"", ""exclamation point""]","{""raw_index"": 429, ""image_id"": ""d0056b0d33dc1f88""}",True
textvqa_225,textvqa,textvqa,which interstate are you going towards if you turn right?,15,"[""to 15"", ""15"", ""interstate 15"", ""army triathlon"", ""i-15"", ""15"", ""15"", ""15"", ""15"", ""15""]","{""raw_index"": 225, ""image_id"": ""b8b21c540bf99250""}",True
textvqa_459,textvqa,textvqa,who makes this fruit juice?,tropicana,"[""tropicana"", ""tropicana"", ""tropicana"", ""tropicana"", ""tropicana"", ""tropicana"", ""tropicana"", ""tropicana"", ""tropicana"", ""tropicana""]","{""raw_index"": 459, ""image_id"": ""4f3dd2c7c2ca867d""}",True
textvqa_603,textvqa,textvqa,what is the number of the girl with the pink shirt and jean shorts?,713,"[""713"", ""713"", ""713"", ""120"", ""713"", ""713"", ""713"", ""713"", ""713"", ""713""]","{""raw_index"": 603, ""image_id"": ""ad5599d86a25d147""}",True
textvqa_284,textvqa,textvqa,what animal is the main focus?,answering does not require reading text in the image,"[""answering does not require reading text in the image"", ""answering does not require reading text in the image"", ""95"", ""unanswerable"", ""dog"", ""answering does not require reading text in the image"", ""dog"", ""answering does not require reading text in the image"", ""dog"", ""dog""]","{""raw_index"": 284, ""image_id"": ""ce6bee088c3052d2""}",True
textvqa_828,textvqa,textvqa,what city is on the green jersey?,portland,"[""portland"", ""calenti@terra.es"", ""portland"", ""portland"", ""portland"", ""portland"", ""portland"", ""portland"", ""portland"", ""portland""]","{""raw_index"": 828, ""image_id"": ""5081155a314fac49""}",True
textvqa_890,textvqa,textvqa,what is the plate number?,pax44,"[""pax 44"", ""pax44"", ""pax 44"", ""pax44"", ""pax 44"", ""pax44"", ""pax44"", ""pax44"", ""pax44"", ""pax44""]","{""raw_index"": 890, ""image_id"": ""00b6f96c840767fa""}",True
textvqa_6,textvqa,textvqa,what type of alcohol is in the bottles?,tequila,"[""tequilla"", ""tequila"", ""tequila"", ""tequila"", ""tequila"", ""jose cuervo"", ""tequila"", ""tequila"", ""tequilla"", ""tequila""]","{""raw_index"": 6, ""image_id"": ""a538b3174e0ae3de""}",True
textvqa_777,textvqa,textvqa,what is the brand of hand dryer shown here called?,dyson,"[""airblade"", ""dyson airblade"", ""dyson airblade"", ""dyson"", ""dyson"", ""airblade"", ""dyson"", ""dyson"", ""dyson"", ""dayson airblade""]","{""raw_index"": 777, ""image_id"": ""29663c586bcd0db2""}",True
textvqa_825,textvqa,textvqa,"below the gull, what is written in green?",stage,"[""stace"", ""stage"", ""stage"", ""stage"", ""stage"", ""stage"", ""stage"", ""stage"", ""stage"", ""stage""]","{""raw_index"": 825, ""image_id"": ""e1e606d71a4dcfca""}",True
textvqa_163,textvqa,textvqa,what is the title of the book?,inter twin gled,"[""inter twin gled"", ""intertwingled"", ""inter twin gled"", ""intertwingled"", ""intertwingled"", ""inter twin gled"", ""inter twin gled"", ""intertwingled"", ""intertwingled"", ""inter twin gled""]","{""raw_index"": 163, ""image_id"": ""cd32056f48c8387f""}",True
textvqa_714,textvqa,textvqa,what does the page say?,in die stille gelauscht,"[""in die stille gelauscht"", ""in die stille gelauscht"", ""in die stille gelauscht"", ""in die stile gelauscht"", ""in die stille gelauscht"", ""in die stille gelauscht"", ""in die stille gelauscht"", ""in die stille gelauscht"", ""in die stille gelauschte"", ""in die stille gelauscht""]","{""raw_index"": 714, ""image_id"": ""ce558f0ef0dc487a""}",True
textvqa_983,textvqa,textvqa,what is the name on the logo between the legs of the basketball player?,nba,"[""nba"", ""nba"", ""nba"", ""nba"", ""nba"", ""nba"", ""upper deck"", ""nba"", ""nba"", ""nba""]","{""raw_index"": 983, ""image_id"": ""3bbe1b5b1367a701""}",True
textvqa_348,textvqa,textvqa,what is the name of the store logo on the blue brick?,lucaioli,"[""lucaioli"", ""lucaioli"", ""lucaioli"", ""lucaioli"", ""lucaioli"", ""lucaioli"", ""lucaioli"", ""lucaioli"", ""lucaioli"", ""corona""]","{""raw_index"": 348, ""image_id"": ""0099945c5e49aae9""}",True
textvqa_964,textvqa,textvqa,what is the title of the book?,athabasca,"[""athabasca"", ""athabasca"", ""athabasca"", ""athabasca"", ""athabasca"", ""athabasca"", ""athabasca"", ""athabasca"", ""athabasca"", ""athabasca""]","{""raw_index"": 964, ""image_id"": ""e25d6865c8f9a6b0""}",True
textvqa_159,textvqa,textvqa,where is is the loreal company headquartered?,paris,"[""paris"", ""paris"", ""paris"", ""la ruta"", ""paris"", ""paris"", ""paris"", ""paris"", ""paris"", ""paris""]","{""raw_index"": 159, ""image_id"": ""12f812ea2f65177a""}",True
textvqa_220,textvqa,textvqa,what brand of airliner is this?,eastern,"[""eastern"", ""eastern"", ""eastern"", ""eastern"", ""eastern"", ""eastern"", ""eastern"", ""eastern"", ""eastern"", ""eastern""]","{""raw_index"": 220, ""image_id"": ""343b8d67ef54733e""}",True
textvqa_781,textvqa,textvqa,how many records are in this set?,two,"[""two"", ""two"", ""two"", ""two"", ""two"", ""2"", ""2"", ""2"", ""two"", ""two""]","{""raw_index"": 781, ""image_id"": ""7753fb8d4210b330""}",True
textvqa_344,textvqa,textvqa,what day of the week is displayed on the watch face?,monday,"[""monday."", ""the day of the week displayed on the watch face is monday."", ""mon"", ""mon"", ""monday"", ""monday"", ""johny freak"", ""monday"", ""mon"", ""monday""]","{""raw_index"": 344, ""image_id"": ""1094053958dd7a14""}",True
textvqa_990,textvqa,textvqa,what is te model of this laptop?,travelmate 6160,"[""travelmate 6160"", ""travelmate 6160"", ""travel mate 6160"", ""texas instruments"", ""travelmate 6160"", ""travelmate 6160"", ""travel mate 6150"", ""travel mate 6160"", ""imate 6160"", ""travelmate 6160""]","{""raw_index"": 990, ""image_id"": ""166e810760d14b8e""}",True
textvqa_94,textvqa,textvqa,what is the name of the drink?,club-mate,"[""club mate"", ""club-mate"", ""club-mate"", ""club-mate"", ""club-mate"", ""club mate"", ""club-mate"", ""club-mate"", ""club-mate"", ""club-mate""]","{""raw_index"": 94, ""image_id"": ""4a3c7bdc29de03cf""}",True
textvqa_389,textvqa,textvqa,what beer is advertised on the back of the cheerleaders?,miller lite,"[""miller lite"", ""miller lite"", ""lite"", ""miller lite"", ""miller lite"", ""miller lite"", ""miller lite"", ""miller lite"", ""miller lite"", ""miller lite""]","{""raw_index"": 389, ""image_id"": ""00b39d10735575b0""}",True
textvqa_99,textvqa,textvqa,what number is the exit?,18b-a,"[""16 b-a"", ""188-a"", ""188-a"", ""188-a"", ""18"", ""ml"", ""18b-a"", ""18b-a"", ""18b-a"", ""18b-a""]","{""raw_index"": 99, ""image_id"": ""a07126586a3df8a2""}",True
textvqa_367,textvqa,textvqa,what month was the plate issued?,january,"[""jan"", ""january"", ""january"", ""january"", ""jan"", ""january"", ""january"", ""jan"", ""january"", ""january""]","{""raw_index"": 367, ""image_id"": ""5cfb746e2b84a15e""}",True
textvqa_867,textvqa,textvqa,who is the author of this book?,james r. ware,"[""unanswerable"", ""james r. ware"", ""james r ware"", ""james r ware"", ""chuang chou"", ""james r. ware"", ""james r. ware"", ""coca-cola"", ""james ware"", ""76999""]","{""raw_index"": 867, ""image_id"": ""fd526e72cac26aa8""}",True
textvqa_352,textvqa,textvqa,who is a true champion?,harry potter,"[""harry potter"", ""harry potter"", ""harry potter"", ""harry potter"", ""harry potter"", ""big cups"", ""harry potter"", ""obamai"", ""harry potter"", ""harry potter""]","{""raw_index"": 352, ""image_id"": ""3d2b6cc9d3fc2e08""}",True
textvqa_618,textvqa,textvqa,what time is it?,3:45,"[""3:45"", ""3:45"", ""3:45"", ""03:45"", ""3.46"", ""3:45"", ""3:45"", ""4:46"", ""3:45"", ""3:45""]","{""raw_index"": 618, ""image_id"": ""97cc7f71f035a1b2""}",True
textvqa_270,textvqa,textvqa,what word is on the front of the shirt?,football,"[""football"", ""football"", ""football"", ""football"", ""football"", ""football"", ""football"", ""football"", ""football"", ""football""]","{""raw_index"": 270, ""image_id"": ""ab4f639b5640a5a3""}",True
textvqa_826,textvqa,textvqa,does the plane's number end in 3?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""answering does not require reading text in the image"", ""no""]","{""raw_index"": 826, ""image_id"": ""3cd10e2493341098""}",True
textvqa_44,textvqa,textvqa,what city and state is on the left?,"rockford, illinois","[""rockford, illinois"", ""rockford, illinois"", ""rockford, illinois"", ""rockford, illinois"", ""rockford"", ""rockford, illinois"", ""rockford, illionois"", ""rockford illinois"", ""rockford, illinois"", ""rockford, illinois""]","{""raw_index"": 44, ""image_id"": ""c6a4171ba8820b56""}",True
textvqa_747,textvqa,textvqa,what kind of book is it?,romantiek in klassiek,"[""unanswerable"", ""romantiek in klassiek"", ""music"", ""it is music"", ""musical"", ""romantiek in klassiek"", ""classical music"", ""melodia"", ""collective muscial"", ""melodia""]","{""raw_index"": 747, ""image_id"": ""2fba809316c59897""}",True
textvqa_470,textvqa,textvqa,what is the first number on the mans jersey?,1,"[""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""11""]","{""raw_index"": 470, ""image_id"": ""5a4f9fe69c9d3aef""}",True
textvqa_549,textvqa,textvqa,what does the ad say is coming home?,internet,"[""internet"", ""internet"", ""internet"", ""internet"", ""internet"", ""internet"", ""internet"", ""internet"", ""internet"", ""internet""]","{""raw_index"": 549, ""image_id"": ""8e45c21138386a3d""}",True
textvqa_127,textvqa,textvqa,what is that drink?,traquair,"[""traquair"", ""ale"", ""traquair jacobite"", ""traquair malto"", ""jacobite ale"", ""birra doppio malto"", ""it is malto"", ""malto"", ""traquair"", ""beer""]","{""raw_index"": 127, ""image_id"": ""5cd7bae96c0628ba""}",True
textvqa_387,textvqa,textvqa,what advertisement sign has a repeating logo next to it?,travelers,"[""travellers"", ""original 16"", ""world financial group"", ""travelers"", ""22"", ""travelers"", ""travelers"", ""m&m"", ""travelers"", ""travelers""]","{""raw_index"": 387, ""image_id"": ""6d4b69a8ad721814""}",True
textvqa_80,textvqa,textvqa,what phone model is being featured?,lg optimus one,"[""optimus one"", ""optimus one"", ""lg optimus one"", ""optiums one"", ""optimus one"", ""lg optimus one"", ""lg optimus one"", ""lg optimus one"", ""lg optimus one"", ""lg optimus""]","{""raw_index"": 80, ""image_id"": ""bf80ee556f97f14f""}",True
textvqa_565,textvqa,textvqa,what is the name of the book with the girl on it?,the american girl's handy book,"[""the american girls handy book"", ""the american girls hand book"", ""the american girl's handy book"", ""the american girl's handy book"", ""the american girl's handy book"", ""the american girl's handy book"", ""handy book"", ""the american girls"", ""the american girl's handy book"", ""the american girls handy book""]","{""raw_index"": 565, ""image_id"": ""34b178228c41f5e4""}",True
textvqa_300,textvqa,textvqa,what letter is on the second clothespin on the right?,m,"[""m"", ""tapiz"", ""o"", ""m"", ""m"", ""s"", ""s"", ""m"", ""m"", ""s""]","{""raw_index"": 300, ""image_id"": ""41b80c4e34880a1c""}",True
textvqa_849,textvqa,textvqa,what's the date on the ticket say?,march 18 '10,"[""march 18 '10"", ""thursday march 18 '10"", ""thursday march 18 '10"", ""smiths tix"", ""thursday march 18'10"", ""march 18 2010"", ""thursday march 18"", ""march 18"", ""march 18 '10"", ""march 18 2010""]","{""raw_index"": 849, ""image_id"": ""225bdab0350a45bf""}",True
textvqa_643,textvqa,textvqa,what does the logo on the shirt say?,poolparty,"[""poolparty"", ""pool party"", ""poolparty"", ""pool party"", ""poolparty"", ""poolparty"", ""poolparty"", ""pool party is the logo on his shirt."", ""unanswerable"", ""poolparty""]","{""raw_index"": 643, ""image_id"": ""0047fb2e2908c12d""}",True
textvqa_633,textvqa,textvqa,is this a magazine?,no,"[""no"", ""yes"", ""no"", ""no"", ""no"", ""yes"", ""no"", ""no"", ""yes"", ""no""]","{""raw_index"": 633, ""image_id"": ""feb670e14f2fde95""}",True
textvqa_906,textvqa,textvqa,where is the airplane flying?,hollywood,"[""hollywood"", ""over hollywood"", ""hollywood"", ""hollywood"", ""hollywood"", ""hollywood"", ""hollywood"", ""hollywood"", ""hollywood"", ""hollywood""]","{""raw_index"": 906, ""image_id"": ""d1223d9edebd54fc""}",True
textvqa_882,textvqa,textvqa,what name is on the back of the jersey that has the number 2?,ferrara,"[""ferrara"", ""ferrara"", ""ferrara"", ""ferrara"", ""ferrara"", ""ferrara"", ""ferrara"", ""ferrara"", ""ferrara"", ""ferrara""]","{""raw_index"": 882, ""image_id"": ""5ddd2a8a3c2328d6""}",True
textvqa_370,textvqa,textvqa,is the boat is really make by mercedes benz?,unanswerable,"[""unanswerable"", ""unanswerable"", ""if you climb it"", ""unanswerable"", ""yes"", ""yes"", ""0"", ""yes"", ""no"", ""unanswerable""]","{""raw_index"": 370, ""image_id"": ""1718b4f02df10ba8""}",True
textvqa_591,textvqa,textvqa,what year was the it manufactured in?,2002,"[""2002"", ""2002"", ""2002"", ""2002"", ""2002"", ""2002"", ""2002"", ""2002"", ""2002"", ""2002""]","{""raw_index"": 591, ""image_id"": ""6479ee405101640c""}",True
textvqa_196,textvqa,textvqa,what is written on the wall?,new york city subway,"[""new york city subway"", ""t2"", ""answering does not require reading text in the image"", ""oracle"", ""the name of the subway station is on the wall"", ""new york city subway"", ""t2 57"", ""57th st"", ""57th st"", ""new york city subway""]","{""raw_index"": 196, ""image_id"": ""e89cbd802165c24c""}",True
textvqa_721,textvqa,textvqa,what is written on the wall?,ali krista,"[""ali krista"", ""ali krista"", ""ali kristal"", ""ali kristal"", ""ali kristal"", ""krista"", ""ali krista"", ""ali kristan"", ""ali krista"", ""ali krista""]","{""raw_index"": 721, ""image_id"": ""21375c6cdec4a7c6""}",True
textvqa_71,textvqa,textvqa,what goes crunch in this recipe?,coffee,"[""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee""]","{""raw_index"": 71, ""image_id"": ""0b6268699f9954de""}",True
textvqa_46,textvqa,textvqa,what brand of cologne is this?,chic,"[""chic"", ""chick"", ""chic for men"", ""chic"", ""chic"", ""chic"", ""chic"", ""banana bread"", ""chic"", ""chick""]","{""raw_index"": 46, ""image_id"": ""b2dc4a44ca8fb644""}",True
textvqa_677,textvqa,textvqa,what number is on the label on the third bottle on the left?,14,"[""14"", ""14"", ""12"", ""14"", ""14"", ""14"", ""16"", ""14"", ""14"", ""14""]","{""raw_index"": 677, ""image_id"": ""91fc268bcc2cd144""}",True
textvqa_233,textvqa,textvqa,what word is listed on the girl on the rights shirt?,all,"[""all"", ""allstar"", ""all"", ""all"", ""allstar"", ""all"", ""all star"", ""all"", ""allstar"", ""allstate""]","{""raw_index"": 233, ""image_id"": ""0a27abbb407ddc47""}",True
textvqa_791,textvqa,textvqa,what date is mentioned on the cover of the book on the top of the stack?,1914,"[""1914"", ""1914"", ""august 1914"", ""1914"", ""1914"", ""1914"", ""j-5004"", ""august 1914"", ""august 1914"", ""1914""]","{""raw_index"": 791, ""image_id"": ""66b128c91b6d0741""}",True
textvqa_296,textvqa,textvqa,what´s the name of the place?,dominion,"[""dominion"", ""dominion"", ""dominion"", ""dominon"", ""dominion"", ""dominion"", ""dominion"", ""dominion"", ""dominion"", ""dominion""]","{""raw_index"": 296, ""image_id"": ""6ae9e3cf884e6c8c""}",True
textvqa_81,textvqa,textvqa,what is written in white above the meter message to the left?,f11,"[""f11"", ""f11"", ""f11"", ""f11"", ""f11"", ""fail"", ""f11"", ""fail"", ""f11"", ""four hours""]","{""raw_index"": 81, ""image_id"": ""0b12f7cbdc590684""}",True
textvqa_875,textvqa,textvqa,what corner is it?,taiwan corner,"[""taiwan"", ""taiwan corner"", ""taiwan corner"", ""taiwan corner"", ""taiwan"", ""taiwan corner"", ""taiwan"", ""taiwan corner"", ""taiwan"", ""taiwan corner""]","{""raw_index"": 875, ""image_id"": ""51ad3cbedfe3ee99""}",True
textvqa_978,textvqa,textvqa,what number is the blue shirt player?,3,"[""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3""]","{""raw_index"": 978, ""image_id"": ""f6cc70e73de01cec""}",True
textvqa_887,textvqa,textvqa,what is the big red letter on the shelf?,r,"[""r"", ""gen jural a early"", ""r"", ""r"", ""r"", ""r"", ""r"", ""r"", ""r"", ""r""]","{""raw_index"": 887, ""image_id"": ""f6610f89f492ecc1""}",True
textvqa_103,textvqa,textvqa,what brand is this?,coasa main,"[""unanswerable"", ""couso main"", ""coasa main"", ""couse main"", ""unanswerable"", ""couza main"", ""coasa main"", ""castelbel"", ""coast main"", ""coasa main""]","{""raw_index"": 103, ""image_id"": ""8b2354348560f150""}",True
textvqa_947,textvqa,textvqa,is this ale?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""no, it is a blck isle."", ""yes"", ""yes"", ""yes""]","{""raw_index"": 947, ""image_id"": ""44985545a5116569""}",True
textvqa_954,textvqa,textvqa,who are the designs by?,taiwan chienlin lee,"[""taiwan chienlin lee"", ""taiwan chienlin ice"", ""chienlin lee"", ""taiwan chienlin lee"", ""chienlin lee"", ""chienlin lee"", ""taiwan chienlin lee"", ""taiwan chienlin ice"", ""taiwan chienlin lee"", ""taiwan chienlin lee""]","{""raw_index"": 954, ""image_id"": ""d91417b34c914c9b""}",True
textvqa_464,textvqa,textvqa,what is that top right button on the remote?,on/off button,"[""on/off buttons"", ""on/off"", ""on/off button"", ""chan/page"", ""on/off button"", ""on/off buttons"", ""on/off button"", ""enter"", ""on/off"", ""on off""]","{""raw_index"": 464, ""image_id"": ""17515c1977a65d6b""}",True
textvqa_650,textvqa,textvqa,what is the girl's jersey number on the blue and white team standing on the left side?,2,"[""2"", ""2"", ""2"", ""canada"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2""]","{""raw_index"": 650, ""image_id"": ""27e43d624a914b99""}",True
textvqa_854,textvqa,textvqa,how many minutes max on the top sign?,10,"[""10"", ""10"", ""10"", ""10"", ""10"", ""10"", ""10"", ""10 min"", ""10"", ""10""]","{""raw_index"": 854, ""image_id"": ""b17376933bae39ef""}",True
textvqa_373,textvqa,textvqa,what's the first letter of the sign on the right?,m,"[""m"", ""m"", ""m"", ""m"", ""m"", ""m"", ""m"", ""m"", ""m"", ""m""]","{""raw_index"": 373, ""image_id"": ""5f2b56adf8d31c9e""}",True
textvqa_166,textvqa,textvqa,who is the publisher of these books?,apple fiction,"[""apple fiction"", ""apple fiction"", ""apple fiction"", ""apple fiction"", ""apple fiction"", ""apple fiction"", ""apple fiction"", ""apple fiction"", ""apple fiction"", ""apple fiction""]","{""raw_index"": 166, ""image_id"": ""bae3f1fc0290c361""}",True
