sample_id,dataset,task,question,answer,answers,metadata,has_image
textvqa_46,textvqa,textvqa,what brand of cologne is this?,chic,"[""chic"", ""chick"", ""chic for men"", ""chic"", ""chic"", ""chic"", ""chic"", ""banana bread"", ""chic"", ""chick""]","{""raw_index"": 46, ""image_id"": ""b2dc4a44ca8fb644""}",True
textvqa_99,textvqa,textvqa,what number is the exit?,18b-a,"[""16 b-a"", ""188-a"", ""188-a"", ""188-a"", ""18"", ""ml"", ""18b-a"", ""18b-a"", ""18b-a"", ""18b-a""]","{""raw_index"": 99, ""image_id"": ""a07126586a3df8a2""}",True
textvqa_34,textvqa,textvqa,what kind of material causes the risk?,volcanic,"[""volcanic"", ""volcanic"", ""volcanic material"", ""volanic"", ""high risk"", ""volcanic"", ""volcanic"", ""volcanic"", ""volcanic material"", ""volcanic material""]","{""raw_index"": 34, ""image_id"": ""7d95d6ca2ab6121d""}",True
textvqa_7,textvqa,textvqa,what are happening to children?,dying,"[""chidren are dying to know the difference"", ""dying"", ""dying"", ""children are dying to know the difference!"", ""poisoning"", ""they are dying to know the difference"", ""dying"", ""dying from drinking poison that looks like juice"", ""dying"", ""children are dying to know the difference""]","{""raw_index"": 7, ""image_id"": ""2e0f367bd1094a8f""}",True
textvqa_60,textvqa,textvqa,what is the male author of both books shown?,john chapman,"[""john chapman"", ""john chapman"", ""john chapman"", ""john chapman"", ""europcar.nl"", ""john chapman"", ""john chapman"", ""john chapman"", ""john chapman"", ""john chapman""]","{""raw_index"": 60, ""image_id"": ""cf68eaf4315773dc""}",True
textvqa_61,textvqa,textvqa,what type of beer is labeled?,zwickel,"[""zwickel"", ""zwickes"", ""zwickel lager"", ""zwickel"", ""zwickel"", ""lager"", ""lager"", ""zwickel"", ""urban chestnut"", ""lager""]","{""raw_index"": 61, ""image_id"": ""415bbf9600c2d519""}",True
textvqa_66,textvqa,textvqa,whta´s the price of this set?,$1.98,"[""$1.98"", ""$1.98"", ""1.98"", ""1.98"", ""1.98"", ""$1.98"", ""1.98"", ""$1.98"", ""1.98"", ""$1.98""]","{""raw_index"": 66, ""image_id"": ""f6248c83019e8913""}",True
textvqa_18,textvqa,textvqa,what year is this tax return from?,2011,"[""casarsa"", ""2011"", ""2011"", ""2011"", ""2011"", ""2011"", ""2011"", ""2011"", ""2011"", ""2011""]","{""raw_index"": 18, ""image_id"": ""e4677b5004822d5c""}",True
textvqa_40,textvqa,textvqa,what dark night is pictured on the gotham underground comic?,batman,"[""batman"", ""batman"", ""batman"", ""batman"", ""batman"", ""batman"", ""no text in image"", ""batman"", ""quartz"", ""batman""]","{""raw_index"": 40, ""image_id"": ""f69007a16720393f""}",True
textvqa_39,textvqa,textvqa,what's the phone number on the bus?,29267222,"[""29267222"", ""2926-7222"", ""2926 7222"", ""29267222"", ""29267222"", ""29267222"", ""29267222"", ""2926-7222"", ""29267222"", ""29267222""]","{""raw_index"": 39, ""image_id"": ""0000599864fd15b3""}",True
textvqa_23,textvqa,textvqa,how many different ways can you go?,one,"[""one"", ""one"", ""one way"", ""one way"", ""one"", ""one way"", ""one"", ""1"", ""1"", ""one""]","{""raw_index"": 23, ""image_id"": ""ad2f47d37e66b093""}",True
textvqa_36,textvqa,textvqa,"what are the three letters in a circle, on the strip of black advertising?",eae,"[""eae"", ""eae"", ""sas"", ""eae"", ""eae"", ""eae"", ""eas"", ""faf"", ""eae"", ""eae""]","{""raw_index"": 36, ""image_id"": ""3f6be0aaa3c2528b""}",True
textvqa_12,textvqa,textvqa,is this a qwerty keyboard?,yes,"[""yes"", ""no"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""answering does not require reading text in the image""]","{""raw_index"": 12, ""image_id"": ""7a5398894d3ac455""}",True
textvqa_85,textvqa,textvqa,what should you be cautioned about?,vehicles exiting,"[""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting"", ""vehicles exiting""]","{""raw_index"": 85, ""image_id"": ""4c0b434943eb84f6""}",True
textvqa_52,textvqa,textvqa,what website is this from?,mech9.com,"[""loop"", ""mech9.com"", ""mech9.com"", ""mech9"", ""mech9.com"", ""mech9.com"", ""mech9.com"", ""mech9.com"", ""mech9.com"", ""mech9.com""]","{""raw_index"": 52, ""image_id"": ""1e974a26a7699e2c""}",True
textvqa_98,textvqa,textvqa,is there a book on word games?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""raw_index"": 98, ""image_id"": ""2480f50e1e012d13""}",True
textvqa_44,textvqa,textvqa,what city and state is on the left?,"rockford, illinois","[""rockford, illinois"", ""rockford, illinois"", ""rockford, illinois"", ""rockford, illinois"", ""rockford"", ""rockford, illinois"", ""rockford, illionois"", ""rockford illinois"", ""rockford, illinois"", ""rockford, illinois""]","{""raw_index"": 44, ""image_id"": ""c6a4171ba8820b56""}",True
textvqa_74,textvqa,textvqa,what does it say just above the arrow?,exhibition entrance,"[""exhibition entrance"", ""exhibition entrance"", ""the art of video games exhibition entrance"", ""exhibition entrance"", ""it says exhibition entrance."", ""exhibition entrance"", ""exhibition entrance"", ""exhibition entrance"", ""exhibition entrance"", ""exhibition entrance""]","{""raw_index"": 74, ""image_id"": ""e656b23e70093917""}",True
textvqa_63,textvqa,textvqa,how much are peanut butter cups?,4.29,"[""2.99"", ""4.29"", ""43"", ""4.29"", ""$4.29"", ""4.29"", ""4.29$"", ""4.29"", ""$4.29"", ""4.29""]","{""raw_index"": 63, ""image_id"": ""8f3ed44392d0e7cd""}",True
textvqa_59,textvqa,textvqa,which universal is it?,orlando,"[""orlando"", ""universal orlando"", ""orlando"", ""orlando"", ""halloween"", ""orlando"", ""orlando"", ""orlando"", ""orlando"", ""orlando""]","{""raw_index"": 59, ""image_id"": ""e0b694de21858986""}",True
textvqa_47,textvqa,textvqa,what types of books are advertised on the alter?,flyleaf,"[""flyleaf books"", ""flyleaf"", ""crafts"", ""flyleaf"", ""flyleaf"", ""flyleaf books"", ""flyleaf"", ""flyleaf books"", ""flyleaf"", ""fly leaf books""]","{""raw_index"": 47, ""image_id"": ""87b3cd85544084cf""}",True
textvqa_8,textvqa,textvqa,what is on first line on the sign?,fruit market,"[""fruit market"", ""fruit market"", ""fruit market"", ""fruit market"", ""fruit market"", ""fruit market"", ""fruit market"", ""fruit market"", ""fruit market"", ""fruit market""]","{""raw_index"": 8, ""image_id"": ""979794ed71489899""}",True
textvqa_33,textvqa,textvqa,does that shirt say something on it?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""magniflex torpado"", ""yes"", ""yes - magniflex torpado"", ""yes"", ""yes"", ""magniflex""]","{""raw_index"": 33, ""image_id"": ""bdbf26933c859932""}",True
textvqa_87,textvqa,textvqa,what is the license plate number?,saii wuj,"[""saiiwuh"", ""saii wuj"", ""saii wuj"", ""saiiwuj"", ""saii wuj"", ""saii wuj"", ""saii wuj"", ""sa11wuj"", ""saiiwuj"", ""saiiwuj""]","{""raw_index"": 87, ""image_id"": ""0b415ced2601ea6e""}",True
textvqa_26,textvqa,textvqa,what version of windows is on this computer?,windows 2000 professional,"[""2000"", ""windows 2000 professional"", ""2000 professional"", ""professional"", ""2000"", ""windows 2000 professional"", ""2000 professional"", ""windows 2000 professional"", ""2000 professional"", ""windows professional 2000""]","{""raw_index"": 26, ""image_id"": ""c5fdafcc7d212886""}",True
textvqa_83,textvqa,textvqa,what war do they win?,cyberwar,"[""cyberwar"", ""cyberwar"", ""cyberwar"", ""cyberwar"", ""cyberwar"", ""cyberwar"", ""cyberwar"", ""cyberwar"", ""cyberwar"", ""cyber war""]","{""raw_index"": 83, ""image_id"": ""d0132a1d23c82df1""}",True
textvqa_49,textvqa,textvqa,what movie is this for?,top gun,"[""top gun"", ""top gun"", ""top gun"", ""top gun"", ""top gun"", ""top gun"", ""top gun"", ""top gun"", ""top gun"", ""top gun""]","{""raw_index"": 49, ""image_id"": ""bb2c217bef71c89e""}",True
textvqa_80,textvqa,textvqa,what phone model is being featured?,lg optimus one,"[""optimus one"", ""optimus one"", ""lg optimus one"", ""optiums one"", ""optimus one"", ""lg optimus one"", ""lg optimus one"", ""lg optimus one"", ""lg optimus one"", ""lg optimus""]","{""raw_index"": 80, ""image_id"": ""bf80ee556f97f14f""}",True
textvqa_96,textvqa,textvqa,what is the name of the beer?,darwin's downfall,"[""darwin's downell"", ""darwin's downfall"", ""darwin's downfall"", ""cau ban thach"", ""darwin's downfall"", ""darwins"", ""darwins downfall"", ""pwd 2462-2"", ""darwin's downfall"", ""darwin's downfall""]","{""raw_index"": 96, ""image_id"": ""e2010bdbb125611b""}",True
textvqa_32,textvqa,textvqa,what year was the nectar made in ?,2012,"[""heavy"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012"", ""2012""]","{""raw_index"": 32, ""image_id"": ""76ef8b0dc965fb5a""}",True
textvqa_21,textvqa,textvqa,what country does this plane belong to?,usa,"[""usa"", ""us"", ""us"", ""unanswerable"", ""usa"", ""usa"", ""answering does not require reading text in the image"", ""united states"", ""united states"", ""united states""]","{""raw_index"": 21, ""image_id"": ""971ae33e4a1b5802""}",True
textvqa_30,textvqa,textvqa,what is the brand of this beer?,tsingtao,"[""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsingtao"", ""tsing tao"", ""tsingtao"", ""tsingtao""]","{""raw_index"": 30, ""image_id"": ""583bc452eb73e040""}",True
textvqa_37,textvqa,textvqa,what kind of watch is it?,rolex,"[""rolex"", ""rolex"", ""rolex"", ""rolex"", ""rolex"", ""rolex"", ""rolex"", ""answering does not require reading text in the image"", ""rolex"", ""rolex""]","{""raw_index"": 37, ""image_id"": ""0d7f8d8c9347b071""}",True
textvqa_76,textvqa,textvqa,is this a samsung battery?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""raw_index"": 76, ""image_id"": ""e9d6c10b6c12ee54""}",True
textvqa_92,textvqa,textvqa,what is written in the red box in the bottom right?,domori,"[""domori"", ""queensgate garage"", ""domori"", ""domori"", ""domori"", ""domori"", ""domori"", ""domori"", ""domori"", ""domori""]","{""raw_index"": 92, ""image_id"": ""3edd9289a3bb8c7a""}",True
textvqa_48,textvqa,textvqa,how many volumes of the green book are on the shelf?,12,"[""12"", ""12"", ""12"", ""12"", ""12"", ""12"", ""12"", ""12"", ""12"", ""12""]","{""raw_index"": 48, ""image_id"": ""fba2fdd3d6853275""}",True
textvqa_45,textvqa,textvqa,what is the big letter on the page?,t,"[""t"", ""t"", ""t"", ""t"", ""t"", ""t"", ""t"", ""t"", ""t"", ""t""]","{""raw_index"": 45, ""image_id"": ""4b271fb1e8db72f0""}",True
textvqa_72,textvqa,textvqa,what team does this man play for?,boer,"[""boer"", ""boer"", ""boer"", ""boer"", ""boer"", ""boer"", ""boer"", ""boer"", ""boer"", ""boer""]","{""raw_index"": 72, ""image_id"": ""1082b60d70c9a0bf""}",True
textvqa_56,textvqa,textvqa,is the name on the hoodie a sports team?,no,"[""no"", ""yes"", ""unanswerable"", ""no"", ""new york"", ""yes"", ""unanswerable"", ""new york"", ""no"", ""new york""]","{""raw_index"": 56, ""image_id"": ""f1904f98b359c0b4""}",True
textvqa_55,textvqa,textvqa,what country is this museum for?,united states,"[""united states"", ""the united states patent and trademark office museum"", ""usa"", ""usa"", ""us"", ""united states"", ""united states"", ""the united states"", ""united states"", ""united states""]","{""raw_index"": 55, ""image_id"": ""77b8576e0b407ab1""}",True
textvqa_10,textvqa,textvqa,what is the name of this series of books?,encyclopedia de mexico,"[""oracle olds"", ""encyclopedia de mexico"", ""mack"", ""encyclopedia de mexico"", ""encyclopedia de mexico"", ""encylopedia de mexico"", ""encyclopedia de mexico"", ""encyclopedia"", ""encyclopedia of mexico"", ""encyclopedia de mexico""]","{""raw_index"": 10, ""image_id"": ""0217600e51a09374""}",True
textvqa_73,textvqa,textvqa,what channel is the tv on?,29,"[""29"", ""29"", ""29"", ""bbc world"", ""bbc world"", ""29"", ""29"", ""29"", ""29"", ""29""]","{""raw_index"": 73, ""image_id"": ""38c3e0a498d056ed""}",True
textvqa_78,textvqa,textvqa,what is the product name?,ibangle,"[""ibangle"", ""ibangle"", ""ibangle"", ""ibangle"", ""ibangle"", ""ibangle"", ""ibangel"", ""ibangle"", ""ibangle"", ""ibangle""]","{""raw_index"": 78, ""image_id"": ""fe7bdbc8c6284075""}",True
textvqa_15,textvqa,textvqa,who is the artist on the billboard?,beck,"[""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck"", ""beck""]","{""raw_index"": 15, ""image_id"": ""b6d5d47d85d7f53e""}",True
textvqa_70,textvqa,textvqa,which brand are these shampoo products from?,vendome,"[""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome"", ""vendome""]","{""raw_index"": 70, ""image_id"": ""0bd1777cb043f6a4""}",True
textvqa_1,textvqa,textvqa,what colored word can be seen on the billboard?,orange,"[""car talk"", ""orange"", ""bargain"", ""s"", ""orange"", ""bargain"", ""orange"", ""orange"", ""orange"", ""orange""]","{""raw_index"": 1, ""image_id"": ""85800ea6436b6b94""}",True
textvqa_50,textvqa,textvqa,what is the product designed to be used on?,face and body,"[""face and body"", ""face and body"", ""witch hazel"", ""face and body"", ""face and body"", ""face & body"", ""for face and body"", ""face and body"", ""face and body"", ""face and body""]","{""raw_index"": 50, ""image_id"": ""97c5ed8eb1005a65""}",True
